Appname,Date,Score,Text,text
PDF Scanner app - TapScanner,Unknown,5,Really helpful,really helpful
PDF Scanner app - TapScanner,Unknown,5,good and affordable,good and affordable
PDF Scanner app - TapScanner,Unknown,5,Great pdf scanner with various features,great pdf scanner with various features
PDF Scanner app - TapScanner,Unknown,1,Worst. Never download it,worst never download it
PDF Scanner app - TapScanner,Unknown,5,Very nice,very nice
PDF Scanner app - TapScanner,Unknown,5,the app is so amazing and easy to use,the app is so amazing and easy to use
PDF Scanner app - TapScanner,Unknown,1,Nothing is good in this and subscription is not worth,nothing is good in this and subscription is not worth
PDF Scanner app - TapScanner,Unknown,5,"it's easy to use,I love it",its easy to usei love it
PDF Scanner app - TapScanner,Unknown,1,Such a worst app asking money to send the documents,such a worst app asking money to send the documents
PDF Scanner app - TapScanner,Unknown,2,eash meathod,eash meathod
PDF Scanner app - TapScanner,Unknown,4,Good,good
PDF Scanner app - TapScanner,Unknown,5,Good application I like it.,good application i like it
PDF Scanner app - TapScanner,Unknown,5,Perfect,perfect
PDF Scanner app - TapScanner,Unknown,5,good,good
PDF Scanner app - TapScanner,Unknown,5,Nice app very convenient and easy to use.,nice app very convenient and easy to use
PDF Scanner app - TapScanner,Unknown,5,this is the best app. I am really amazed with it. great thanks.,this is the best app i am really amazed with it great thanks
PDF Scanner app - TapScanner,Unknown,1,Trying to hustle you for premium,trying to hustle you for premium
PDF Scanner app - TapScanner,Unknown,5,Super,super
PDF Scanner app - TapScanner,Unknown,5,👍good,good
PDF Scanner app - TapScanner,Unknown,5,good,good
PDF Scanner app - TapScanner,Unknown,5,Wow,wow
PDF Scanner app - TapScanner,Unknown,5,I really enjoying for this app,i really enjoying for this app
PDF Scanner app - TapScanner,Unknown,4,Worked for the few I've tried so far,worked for the few ive tried so far
PDF Scanner app - TapScanner,Unknown,5,Good,good
PDF Scanner app - TapScanner,Unknown,5,Easy to use use as described,easy to use use as described
PDF Scanner app - TapScanner,Unknown,5,Masta,masta
PDF Scanner app - TapScanner,Unknown,1,Only let's you scan a few pages before you have to pay,only lets you scan a few pages before you have to pay
PDF Scanner app - TapScanner,Unknown,5,excellent,excellent
PDF Scanner app - TapScanner,Unknown,1,Frustrating not east to use,frustrating not east to use
PDF Scanner app - TapScanner,Unknown,5,I really love it!!!!!!!,i really love it
PDF Scanner app - TapScanner,Unknown,1,bad l,bad l
PDF Scanner app - TapScanner,Unknown,5,it was amazing and good,it was amazing and good
PDF Scanner app - TapScanner,Unknown,5,A very reliable app,a very reliable app
PDF Scanner app - TapScanner,Unknown,5,Good,good
PDF Scanner app - TapScanner,Unknown,5,fantastic! amazing! extraordinary! Just wow!,fantastic amazing extraordinary just wow
PDF Scanner app - TapScanner,Unknown,5,seems super easy,seems super easy
PDF Scanner app - TapScanner,Unknown,5,Really good 👍😊 excellent app,really good excellent app
PDF Scanner app - TapScanner,Unknown,5,In my opinion I would say that this is an excellent app for taking pictures of documents and have options and filters and it's just amazing thank you for creating an wonderful app for us 💗🥰💗💗,in my opinion i would say that this is an excellent app for taking pictures of documents and have options and filters and its just amazing thank you for creating an wonderful app for us
PDF Scanner app - TapScanner,Unknown,5,I love your app,i love your app
PDF Scanner app - TapScanner,Unknown,5,Good,good
PDF Scanner app - TapScanner,Unknown,5,😄😄♥️♥️,
PDF Scanner app - TapScanner,Unknown,5,nice app,nice app
PDF Scanner app - TapScanner,Unknown,1,I shouldn't have to pay to save my own pictures to my device. I will be installing after tax season.,i shouldnt have to pay to save my own pictures to my device i will be installing after tax season
PDF Scanner app - TapScanner,Unknown,5,great app. easy to use. highly recommended,great app easy to use highly recommended
PDF Scanner app - TapScanner,Unknown,5,Amazing,amazing
PDF Scanner app - TapScanner,Unknown,1,Faltu Aap hai Download na kare,faltu aap hai download na kare
PDF Scanner app - TapScanner,Unknown,5,its very Amazing Easy to use🌹,its very amazing easy to use
PDF Scanner app - TapScanner,Unknown,3,It's a great but pls let's enjoy no water mark document.,its a great but pls lets enjoy no water mark document
PDF Scanner app - TapScanner,Unknown,5,awesome,awesome
PDF Scanner app - TapScanner,Unknown,5,Great,great
PDF Scanner app - TapScanner,Unknown,5,Gud,gud
PDF Scanner app - TapScanner,Unknown,3,Confusing,confusing
PDF Scanner app - TapScanner,Unknown,5,Spectacular,spectacular
PDF Scanner app - TapScanner,Unknown,5,nice App to us,nice app to us
PDF Scanner app - TapScanner,Unknown,5,Perfect and easy,perfect and easy
PDF Scanner app - TapScanner,Unknown,2,Paid service. Works well enough but very limited to what you can do for free. Would not recommend.,paid service works well enough but very limited to what you can do for free would not recommend
PDF Scanner app - TapScanner,Unknown,1,Nonsense app 🙄,nonsense app
PDF Scanner app - TapScanner,Unknown,5,Amazing,amazing
PDF Scanner app - TapScanner,Unknown,5,Good job,good job
PDF Scanner app - TapScanner,Unknown,5,Nice app,nice app
PDF Scanner app - TapScanner,Unknown,5,Great app,great app
PDF Scanner app - TapScanner,Unknown,5,😭,
PDF Scanner app - TapScanner,Unknown,5,Very good,very good
PDF Scanner app - TapScanner,Unknown,5,Amazing,amazing
PDF Scanner app - TapScanner,Unknown,5,good,good
PDF Scanner app - TapScanner,Unknown,5,Work like magic 👌 👍,work like magic
PDF Scanner app - TapScanner,Unknown,5,Okay,okay
PDF Scanner app - TapScanner,Unknown,5,So easy to use. I highly recommend it.,so easy to use i highly recommend it
PDF Scanner app - TapScanner,Unknown,5,Brilliant thanks 👍,brilliant thanks
PDF Scanner app - TapScanner,Unknown,5,❤️,
PDF Scanner app - TapScanner,Unknown,5,Excellent,excellent
PDF Scanner app - TapScanner,Unknown,5,Nice 👍,nice
PDF Scanner app - TapScanner,Unknown,1,Great except that you can only scan 10 docs for free. I don't understand the positive reviews. No response to customers reviews that took time to provide feedback. I'd be happy to watch ads for basic. What bothers me is that they try to trick you to try the free 3 day trial. Auto increase. The screen pops up between stages which is a nightmare.,great except that you can only scan docs for free i dont understand the positive reviews no response to customers reviews that took time to provide feedback id be happy to watch ads for basic what bothers me is that they try to trick you to try the free day trial auto increase the screen pops up between stages which is a nightmare
PDF Scanner app - TapScanner,Unknown,5,Yes good,yes good
PDF Scanner app - TapScanner,Unknown,1,DON'T accept the trial membership! I subscribed to the free trial of this app & canceled before the app posted that I was to be charged for the paid membership only to be charged for the next TWO weeks when my subscriptions showed I had canceled & this app was not listed under subscriptions! Some how I guess it resubs every week therefore doesn't show in subscriptions! Fraudulent!! I'd like a refund 🙃!,dont accept the trial membership i subscribed to the free trial of this app canceled before the app posted that i was to be charged for the paid membership only to be charged for the next two weeks when my subscriptions showed i had canceled this app was not listed under subscriptions some how i guess it resubs every week therefore doesnt show in subscriptions fraudulent id like a refund
PDF Scanner app - TapScanner,Unknown,5,Nice one,nice one
PDF Scanner app - TapScanner,Unknown,5,Great 👍,great
PDF Scanner app - TapScanner,Unknown,5,good,good
PDF Scanner app - TapScanner,Unknown,5,Good,good
PDF Scanner app - TapScanner,Unknown,5,Good app,good app
PDF Scanner app - TapScanner,Unknown,5,super,super
PDF Scanner app - TapScanner,Unknown,5,Good experience,good experience
PDF Scanner app - TapScanner,Unknown,5,Good,good
PDF Scanner app - TapScanner,Unknown,5,nice,nice
PDF Scanner app - TapScanner,Unknown,5,So easy to use,so easy to use
PDF Scanner app - TapScanner,Unknown,5,Fast nd simple,fast nd simple
PDF Scanner app - TapScanner,Unknown,5,Amezing,amezing
PDF Scanner app - TapScanner,Unknown,1,Thats nice,thats nice
PDF Scanner app - TapScanner,Unknown,5,I have try many websites for these functions which this app have but those can't have it is perfect 👍,i have try many websites for these functions which this app have but those cant have it is perfect
PDF Scanner app - TapScanner,Unknown,5,It is so easy to use Thanks for it,it is so easy to use thanks for it
PDF Scanner app - TapScanner,Unknown,5,Love it.... So easy to use,love it so easy to use
PDF Scanner app - TapScanner,Unknown,1,"Waste app, need to pay subscription of 4000 rs per year.. in which I can get a HP printer and scanner.",waste app need to pay subscription of rs per year in which i can get a hp printer and scanner
PDF Scanner app - TapScanner,Unknown,5,nice app,nice app
PDF Scanner app - TapScanner,Unknown,2,Only being able to share 5 pages a day???,only being able to share pages a day
PDF Scanner app - TapScanner,Unknown,5,awesome app,awesome app
PDF Scanner app - TapScanner,Unknown,5,awesome,awesome
PDF Scanner app - TapScanner,Unknown,5,Great app! Recommend,great app recommend
PDF Scanner app - TapScanner,Unknown,5,works great but sneaky pay features. that free trial then pay without realizing for a bit! just be wary.,works great but sneaky pay features that free trial then pay without realizing for a bit just be wary
PDF Scanner app - TapScanner,Unknown,5,Its very good but its paid very bad,its very good but its paid very bad
PDF Scanner app - TapScanner,Unknown,5,Amazing App Great Features,amazing app great features
PDF Scanner app - TapScanner,Unknown,5,Good,good
PDF Scanner app - TapScanner,Unknown,1,Can't even scan 1 doc without CC. Annoying popups left and right.,cant even scan doc without cc annoying popups left and right
