Appname,Date,Score,Text,text
PhotoScan by Google Photos,Unknown,5,"Wow, it's exceptional!",wow its exceptional
PhotoScan by Google Photos,Unknown,4,Good,good
PhotoScan by Google Photos,Unknown,5,Voice call and voice msgs,voice call and voice msgs
PhotoScan by Google Photos,Unknown,4,"An almost-functional app that scans and remove glare by having your camera takes multiple shots at different angles. The main issue is that there's no simple ""save to device"" button and only share options to other apps. Granted, there's an auto-save but if you want another copy, you can't simply save it to device with a click. Document also exports with a version that has a border advertising the app. Wish there was a way to turn that off.",an almostfunctional app that scans and remove glare by having your camera takes multiple shots at different angles the main issue is that theres no simple save to device button and only share options to other apps granted theres an autosave but if you want another copy you cant simply save it to device with a click document also exports with a version that has a border advertising the app wish there was a way to turn that off
PhotoScan by Google Photos,Unknown,5,"Scan your photos You can use PhotoScan to scan and save printed photos. Scan a photo To scan a photo, you need the PhotoScan app installed on your phone. Open the Google Photos app . At the top, tap Create . Under 'Get photos', tap Import from other places. Under 'Scan photos with your phone', tap PhotoScan. To start the scan, hold your phone directly above a photo. Tap the button to take a picture. It'll automatically save to your device. Move your phone around until the circle is over each o",scan your photos you can use photoscan to scan and save printed photos scan a photo to scan a photo you need the photoscan app installed on your phone open the google photos app at the top tap create under get photos tap import from other places under scan photos with your phone tap photoscan to start the scan hold your phone directly above a photo tap the button to take a picture itll automatically save to your device move your phone around until the circle is over each o
PhotoScan by Google Photos,Unknown,4,Best,best
PhotoScan by Google Photos,Unknown,5,Yeah !!!,yeah
PhotoScan by Google Photos,Unknown,5,Supar,supar
PhotoScan by Google Photos,Unknown,1,I didn't like this four dot think 😔 it's so annoying for me as I wanted to take a lot pic related to my notes and the pics come upside down also.,i didnt like this four dot think its so annoying for me as i wanted to take a lot pic related to my notes and the pics come upside down also
PhotoScan by Google Photos,Unknown,1,Useless and low quality app structure.,useless and low quality app structure
PhotoScan by Google Photos,Unknown,5,"Great tool to scan pictures. Best of all, it's free....",great tool to scan pictures best of all its free
PhotoScan by Google Photos,Unknown,2,Fast time try to understand thank you so much,fast time try to understand thank you so much
PhotoScan by Google Photos,Unknown,5,Unbelieable how the google team works for you!,unbelieable how the google team works for you
PhotoScan by Google Photos,Unknown,1,It's useless. The user has to move the phone to 4 spots and wait until the scan processes it so we can move the other spots. The whole process can take up to 5 min to scan 1 photo.,its useless the user has to move the phone to spots and wait until the scan processes it so we can move the other spots the whole process can take up to min to scan photo
PhotoScan by Google Photos,Unknown,5,nice,nice
PhotoScan by Google Photos,Unknown,4,"assalamulaikum,😘Kaisa ho Nice software",assalamulaikumkaisa ho nice software
PhotoScan by Google Photos,Unknown,1,Images not clear,images not clear
PhotoScan by Google Photos,Unknown,5,good,good
PhotoScan by Google Photos,Unknown,1,"very poor quality, it takes time to set corner, should be urgent and quickly scan",very poor quality it takes time to set corner should be urgent and quickly scan
PhotoScan by Google Photos,Unknown,5,faster,faster
PhotoScan by Google Photos,Unknown,5,Supar,supar
PhotoScan by Google Photos,Unknown,1,garbage,garbage
PhotoScan by Google Photos,Unknown,5,It shows photos clear,it shows photos clear
PhotoScan by Google Photos,Unknown,5,It's good and helpful 👍,its good and helpful
PhotoScan by Google Photos,Unknown,5,Ok,ok
PhotoScan by Google Photos,Unknown,1,Not that good. Final image is distorted,not that good final image is distorted
PhotoScan by Google Photos,Unknown,5,Very good,very good
PhotoScan by Google Photos,Unknown,5,Awsome 👍👍👍,awsome
PhotoScan by Google Photos,Unknown,5,फार च. छान. आहे,फर च छन आह
PhotoScan by Google Photos,Unknown,2,"Doesn't really work on textured prints, the glare off the flash mucks it up. ok on gloss and satin.",doesnt really work on textured prints the glare off the flash mucks it up ok on gloss and satin
PhotoScan by Google Photos,Unknown,1,Does NOT work with my device (Redmi 134G) even though the app store says it's compatible with my device. Very disappointed,does not work with my device redmi g even though the app store says its compatible with my device very disappointed
PhotoScan by Google Photos,Unknown,5,Good update,good update
PhotoScan by Google Photos,Unknown,1,doesn't work,doesnt work
PhotoScan by Google Photos,Unknown,3,"I expected more from google, this is BS",i expected more from google this is bs
PhotoScan by Google Photos,Unknown,5,Can I give 10 ⭐stars?,can i give stars
PhotoScan by Google Photos,Unknown,3,Needs more info for the consumer.,needs more info for the consumer
PhotoScan by Google Photos,Unknown,1,"Not working on Poco F6. When I try to scan a document, a message says to move the circle over a dot but no dots are showing.",not working on poco f when i try to scan a document a message says to move the circle over a dot but no dots are showing
PhotoScan by Google Photos,Unknown,5,Ok,ok
PhotoScan by Google Photos,Unknown,5,"Google, ❤️",google
PhotoScan by Google Photos,Unknown,5,Good,good
PhotoScan by Google Photos,Unknown,2,good,good
PhotoScan by Google Photos,Unknown,1,Billionaire owned evil empire photo scan which means you're just taking a picture of whatever you're scanning super brilliant and Innovative let me tell you,billionaire owned evil empire photo scan which means youre just taking a picture of whatever youre scanning super brilliant and innovative let me tell you
PhotoScan by Google Photos,Unknown,5,It's has been helpful. App,its has been helpful app
PhotoScan by Google Photos,Unknown,5,Good experience,good experience
PhotoScan by Google Photos,Unknown,5,Useful,useful
PhotoScan by Google Photos,Unknown,1,PhotoScan by GOOGLE isn't compatible with Google's own tablet THAT GOOGLE MANUFACTURES! What kind of B$ is that?,photoscan by google isnt compatible with googles own tablet that google manufactures what kind of b is that
PhotoScan by Google Photos,Unknown,5,Great good,great good
PhotoScan by Google Photos,Unknown,1,"Worst photo scanning app ever! Looks like the developers have never updated the app since release. I remember using it back then, for a short while, because the resolution of the scanned photos was very low. Reinstalled the app today only to find that nothing has changed. And, the scanning process is still so slow - matching up with 4 dots for every single scan.. Terrible.",worst photo scanning app ever looks like the developers have never updated the app since release i remember using it back then for a short while because the resolution of the scanned photos was very low reinstalled the app today only to find that nothing has changed and the scanning process is still so slow matching up with dots for every single scan terrible
PhotoScan by Google Photos,Unknown,5,Bahut accha beautiful ❤️,bahut accha beautiful
PhotoScan by Google Photos,Unknown,1,This is bad just clicking a regular photo instead works better,this is bad just clicking a regular photo instead works better
PhotoScan by Google Photos,Unknown,5,Ok,ok
PhotoScan by Google Photos,Unknown,1,Nonsense app. Totally disgusting.,nonsense app totally disgusting
PhotoScan by Google Photos,Unknown,4,Very good,very good
PhotoScan by Google Photos,Unknown,5,All dat feedback,all dat feedback
PhotoScan by Google Photos,Unknown,5,Good,good
PhotoScan by Google Photos,Unknown,1,good,good
PhotoScan by Google Photos,Unknown,5,I like this one,i like this one
PhotoScan by Google Photos,Unknown,5,Good,good
PhotoScan by Google Photos,Unknown,4,Very good app,very good app
PhotoScan by Google Photos,Unknown,1,Horrible we cant scan photo that is already taken....,horrible we cant scan photo that is already taken
PhotoScan by Google Photos,Unknown,5,"Lovely app, straight forward, easy to use",lovely app straight forward easy to use
PhotoScan by Google Photos,Unknown,5,If you have an old photo that's in a poor state. This is the simplest way to scan it into your phone. Need a bit of practise to get going but once you've done that it's really easy and the results are excellent.,if you have an old photo thats in a poor state this is the simplest way to scan it into your phone need a bit of practise to get going but once youve done that its really easy and the results are excellent
PhotoScan by Google Photos,Unknown,2,To take one photo i want to hold my phone for 10 to 15 seconds and output also not good,to take one photo i want to hold my phone for to seconds and output also not good
PhotoScan by Google Photos,Unknown,5,Excellent,excellent
PhotoScan by Google Photos,Unknown,1,Not much useful app,not much useful app
PhotoScan by Google Photos,Unknown,5,failsiv,failsiv
PhotoScan by Google Photos,Unknown,2,Impossibile to understand how this works,impossibile to understand how this works
PhotoScan by Google Photos,Unknown,5,Excellent,excellent
PhotoScan by Google Photos,Unknown,5,A very helpful app,a very helpful app
PhotoScan by Google Photos,Unknown,3,Good app,good app
PhotoScan by Google Photos,Unknown,4,Good,good
PhotoScan by Google Photos,Unknown,5,Ok,ok
