Appname,Date,Score,Text,text
QR & Barcode Reader,Unknown,1,"it does not read qr, when viewing scanned qr it creates its own qr. what the h3ll?",it does not read qr when viewing scanned qr it creates its own qr what the hll
QR & Barcode Reader,Unknown,1,it didn't work! grrrrr,it didnt work grrrrr
QR & Barcode Reader,Unknown,5,Njuguna Njoroge perfect,njuguna njoroge perfect
QR & Barcode Reader,Unknown,5,nice,nice
QR & Barcode Reader,Unknown,5,حلو جدا,حلو جدا
QR & Barcode Reader,Unknown,5,ok,ok
QR & Barcode Reader,Unknown,4,ok,ok
QR & Barcode Reader,Unknown,1,Now destroyed by intrusive ads claiming it is out of date forcing update which is in fact downloading a replacement app,now destroyed by intrusive ads claiming it is out of date forcing update which is in fact downloading a replacement app
QR & Barcode Reader,Unknown,1,complicated,complicated
QR & Barcode Reader,Unknown,5,it's good it's all good.,its good its all good
QR & Barcode Reader,Unknown,4,after few extra touvh ups It will prove to be its 5 star,after few extra touvh ups it will prove to be its star
QR & Barcode Reader,Unknown,1,Illegally forces you into accepting targeted ads if you don't pay for their subscription. Blatant violation of GDPR rules,illegally forces you into accepting targeted ads if you dont pay for their subscription blatant violation of gdpr rules
QR & Barcode Reader,Unknown,5,works !,works
QR & Barcode Reader,Unknown,4,very good 😊,very good
QR & Barcode Reader,Unknown,3,"Worked for a little when the barcode I scanned last month worked just fine. Coming back just 2 months later and the same app and barcode are used, except this time it refuses to scan. Couldn't figure out why??",worked for a little when the barcode i scanned last month worked just fine coming back just months later and the same app and barcode are used except this time it refuses to scan couldnt figure out why
QR & Barcode Reader,Unknown,5,A great app that does exactly what it's supposed to do.,a great app that does exactly what its supposed to do
QR & Barcode Reader,Unknown,5,best quality. best customer service..,best quality best customer service
QR & Barcode Reader,Unknown,1,STOP ASKING FOR RATINGS,stop asking for ratings
QR & Barcode Reader,Unknown,4,it's an awesome app,its an awesome app
QR & Barcode Reader,Unknown,5,நன்றாக உள்ளது,நனறக உளளத
QR & Barcode Reader,Unknown,1,Too many tracking cookies!,too many tracking cookies
QR & Barcode Reader,Unknown,1,This app is linked to a company called vvum.top. Whenever I try to use the app they try to charge my card 39.95,this app is linked to a company called vvumtop whenever i try to use the app they try to charge my card
QR & Barcode Reader,Unknown,1,not good,not good
QR & Barcode Reader,Unknown,1,Doesn't work at all,doesnt work at all
QR & Barcode Reader,Unknown,1,toi much fin spam,toi much fin spam
QR & Barcode Reader,Unknown,4,عالی,عالی
QR & Barcode Reader,Unknown,5,good 👍 and get and it's great,good and get and its great
QR & Barcode Reader,Unknown,5,its good,its good
QR & Barcode Reader,Unknown,5,Awesome used it for years,awesome used it for years
QR & Barcode Reader,Unknown,5,GOOD,good
QR & Barcode Reader,Unknown,5,Very useful never fails,very useful never fails
QR & Barcode Reader,Unknown,1,Can't decline cookies for targeted ads without going pro. Now removed and believe this is against gdpr regs.,cant decline cookies for targeted ads without going pro now removed and believe this is against gdpr regs
QR & Barcode Reader,Unknown,5,this works good,this works good
QR & Barcode Reader,Unknown,1,Under GDPR you give the same access whether someone accepts data-mining or not. This has been very clear for some time. If you don't want to give free access regardless of choice feel free to stop offering a free version in the EU.,under gdpr you give the same access whether someone accepts datamining or not this has been very clear for some time if you dont want to give free access regardless of choice feel free to stop offering a free version in the eu
QR & Barcode Reader,Unknown,5,Good,good
QR & Barcode Reader,Unknown,5,good,good
QR & Barcode Reader,Unknown,1,"I've been using this app for a while, but now the ads prevent me from scanning codes.",ive been using this app for a while but now the ads prevent me from scanning codes
QR & Barcode Reader,Unknown,5,very good.,very good
QR & Barcode Reader,Unknown,5,Works great,works great
QR & Barcode Reader,Unknown,5,"Works pretty well, good job maintaining, dont make it by purchase only",works pretty well good job maintaining dont make it by purchase only
QR & Barcode Reader,Unknown,1,app serves easy to click advertisements that navigate to scam pages,app serves easy to click advertisements that navigate to scam pages
QR & Barcode Reader,Unknown,1,Full of scam advertisers,full of scam advertisers
QR & Barcode Reader,Unknown,4,ok,ok
QR & Barcode Reader,Unknown,5,nice application,nice application
QR & Barcode Reader,Unknown,5,Works well.,works well
QR & Barcode Reader,Unknown,1,Forced to accept cookies to use,forced to accept cookies to use
QR & Barcode Reader,Unknown,1,"U either buy the pro version, or you give them all ur consent... Naah, not for me",u either buy the pro version or you give them all ur consent naah not for me
