Appname,Date,Score,Text,text
QR Scanner: Barcode Scanner,Unknown,5,Never let me down as most competitors do...,never let me down as most competitors do
QR Scanner: Barcode Scanner,Unknown,5,Good camera u should download it for best experience,good camera u should download it for best experience
QR Scanner: Barcode Scanner,Unknown,5,Pleasant,pleasant
QR Scanner: Barcode Scanner,Unknown,5,Excellent work,excellent work
QR Scanner: Barcode Scanner,Unknown,5,Nice App,nice app
QR Scanner: Barcode Scanner,Unknown,5,this app is great and interesting,this app is great and interesting
QR Scanner: Barcode Scanner,Unknown,5,Good,good
QR Scanner: Barcode Scanner,Unknown,5,Best,best
QR Scanner: Barcode Scanner,Unknown,5,Very nice,very nice
QR Scanner: Barcode Scanner,Unknown,5,QR scanner app,qr scanner app
QR Scanner: Barcode Scanner,Unknown,5,Cool app that works,cool app that works
QR Scanner: Barcode Scanner,Unknown,5,Works great so far and quick,works great so far and quick
QR Scanner: Barcode Scanner,Unknown,5,Very good,very good
QR Scanner: Barcode Scanner,Unknown,5,Easy,easy
QR Scanner: Barcode Scanner,Unknown,5,Good,good
QR Scanner: Barcode Scanner,Unknown,5,Good,good
QR Scanner: Barcode Scanner,Unknown,5,I have had to use this APP only a Few times and I once again efficient,i have had to use this app only a few times and i once again efficient
QR Scanner: Barcode Scanner,Unknown,1,Does work in any shape or form. Not even worth loading onto my phone even it's free.,does work in any shape or form not even worth loading onto my phone even its free
QR Scanner: Barcode Scanner,Unknown,5,Works perfectly!,works perfectly
QR Scanner: Barcode Scanner,Unknown,5,This is exceptional,this is exceptional
QR Scanner: Barcode Scanner,Unknown,5,It's good,its good
QR Scanner: Barcode Scanner,Unknown,4,Easy to use once you know to only click the very top of it after you have viewed your barcode and not the ad that's below it,easy to use once you know to only click the very top of it after you have viewed your barcode and not the ad thats below it
QR Scanner: Barcode Scanner,Unknown,5,Super appk 100% Good,super appk good
QR Scanner: Barcode Scanner,Unknown,5,User friendly and helpful.,user friendly and helpful
QR Scanner: Barcode Scanner,Unknown,5,"Simple, free and works",simple free and works
QR Scanner: Barcode Scanner,Unknown,1,Can't get it working,cant get it working
QR Scanner: Barcode Scanner,Unknown,5,Great,great
QR Scanner: Barcode Scanner,Unknown,5,A very good app very fast and Sharp,a very good app very fast and sharp
QR Scanner: Barcode Scanner,Unknown,5,Good,good
QR Scanner: Barcode Scanner,Unknown,5,Very nice app,very nice app
QR Scanner: Barcode Scanner,Unknown,5,Just installed. No comment yet,just installed no comment yet
QR Scanner: Barcode Scanner,Unknown,5,Good,good
QR Scanner: Barcode Scanner,Unknown,5,Nice,nice
QR Scanner: Barcode Scanner,Unknown,3,Good,good
QR Scanner: Barcode Scanner,Unknown,5,This application is vary good,this application is vary good
QR Scanner: Barcode Scanner,Unknown,5,Excellent,excellent
QR Scanner: Barcode Scanner,Unknown,5,Very good,very good
QR Scanner: Barcode Scanner,Unknown,5,Good,good
QR Scanner: Barcode Scanner,Unknown,5,Very good,very good
QR Scanner: Barcode Scanner,Unknown,4,Just wanted to know more about the application,just wanted to know more about the application
QR Scanner: Barcode Scanner,Unknown,5,🥰🥰😍,
QR Scanner: Barcode Scanner,Unknown,5,#1 best of the best fast and 100% accurate 👌 👏,best of the best fast and accurate
QR Scanner: Barcode Scanner,Unknown,5,Nice,nice
QR Scanner: Barcode Scanner,Unknown,5,Good,good
