Appname,Date,Score,Text,text
Scanner Radio - Police Scanner,Unknown,5,Just love to beable to know what is going on. .,just love to beable to know what is going on
Scanner Radio - Police Scanner,Unknown,5,It does everything I want it to.,it does everything i want it to
Scanner Radio - Police Scanner,Unknown,5,works great 👍,works great
Scanner Radio - Police Scanner,Unknown,4,Great scanner app tbh,great scanner app tbh
Scanner Radio - Police Scanner,Unknown,5,Great app,great app
Scanner Radio - Police Scanner,Unknown,5,love it,love it
Scanner Radio - Police Scanner,Unknown,2,"This is an app that I can do with out. I use it very little. The most annoying thing is that it runs the battery down. On my phone every time I use it my battery is depleted whether I use it for a little or or a lot , quicker than if use it for anything else.",this is an app that i can do with out i use it very little the most annoying thing is that it runs the battery down on my phone every time i use it my battery is depleted whether i use it for a little or or a lot quicker than if use it for anything else
Scanner Radio - Police Scanner,Unknown,1,IT WAS FREE AND NOW YOU HAVE TO PAY FOR IT,it was free and now you have to pay for it
Scanner Radio - Police Scanner,Unknown,5,nice,nice
Scanner Radio - Police Scanner,Unknown,1,your scanner doesn't work for Steuben county police or sheriff's department,your scanner doesnt work for steuben county police or sheriffs department
Scanner Radio - Police Scanner,Unknown,5,Great app always keeps you updated. What's going on in your area.,great app always keeps you updated whats going on in your area
Scanner Radio - Police Scanner,Unknown,5,blah blah you see me using this app,blah blah you see me using this app
Scanner Radio - Police Scanner,Unknown,3,cool,cool
Scanner Radio - Police Scanner,Unknown,5,Cool,cool
Scanner Radio - Police Scanner,Unknown,2,Ads are getting way too invasive.,ads are getting way too invasive
Scanner Radio - Police Scanner,Unknown,5,when there were fires I was able to be informed and know when I needed to evacuate.,when there were fires i was able to be informed and know when i needed to evacuate
Scanner Radio - Police Scanner,Unknown,5,Great app.One the best i've ever came across²,great appone the best ive ever came across²
Scanner Radio - Police Scanner,Unknown,1,sux,sux
Scanner Radio - Police Scanner,Unknown,5,"I love this app. This will save your @ZZ 🚨🚔 I recommend it all the time. It's accurate, free, and gives every station you need even including EMS stations.",i love this app this will save your zz i recommend it all the time its accurate free and gives every station you need even including ems stations
Scanner Radio - Police Scanner,Unknown,5,Ome of my favorite apps,ome of my favorite apps
Scanner Radio - Police Scanner,Unknown,5,AWESOME!!!!!!! NEED I SAY MORE!?,awesome need i say more
Scanner Radio - Police Scanner,Unknown,5,"Had this app on my old phone. Was going put it on my new phone. Just for the heck of it, I checked out some other similar apps, they all got a ""safe"" rating from Norton LifeLock, but for this app Norton/LifeLock keeps giving a ""No info"", so I'm hesitant of downloading it onto my phone. If that doesn't change in a few days, I will go with one of the other apps. March 2025----now getting a ""Safe"" review from Norton/LifeLock !!!",had this app on my old phone was going put it on my new phone just for the heck of it i checked out some other similar apps they all got a safe rating from norton lifelock but for this app nortonlifelock keeps giving a no info so im hesitant of downloading it onto my phone if that doesnt change in a few days i will go with one of the other apps march now getting a safe review from nortonlifelock
Scanner Radio - Police Scanner,Unknown,5,👍👍,
Scanner Radio - Police Scanner,Unknown,5,"I like it, it's quite interesting.",i like it its quite interesting
Scanner Radio - Police Scanner,Unknown,5,I love it,i love it
Scanner Radio - Police Scanner,Unknown,1,"Pay to play Edit: you get a 30-day free trial upon downloading the application but that is only if you put your payment information in for a reoccurring yearly fee of 29.99 or you can pay $3.99 per month if you prefer... There are zero options for ""free"" Edit 2: this should be a much more visible option instead of having it same as if the only option is to take the free trial and hope that you remember to cancel your subscription in a year so that you do not get charged again...Still 1 star",pay to play edit you get a day free trial upon downloading the application but that is only if you put your payment information in for a reoccurring yearly fee of or you can pay per month if you prefer there are zero options for free edit this should be a much more visible option instead of having it same as if the only option is to take the free trial and hope that you remember to cancel your subscription in a year so that you do not get charged againstill star
Scanner Radio - Police Scanner,Unknown,5,"Great app, thank you.",great app thank you
Scanner Radio - Police Scanner,Unknown,5,great for keeping track of fires and emergency services.,great for keeping track of fires and emergency services
Scanner Radio - Police Scanner,Unknown,5,This the best one out here,this the best one out here
Scanner Radio - Police Scanner,Unknown,5,great!!!!!!,great
Scanner Radio - Police Scanner,Unknown,3,I'm just glad that I didn't put in for this month's subscription because Laramie county Wyoming is still offline,im just glad that i didnt put in for this months subscription because laramie county wyoming is still offline
Scanner Radio - Police Scanner,Unknown,5,I listen to it every weekend,i listen to it every weekend
Scanner Radio - Police Scanner,Unknown,5,great,great
Scanner Radio - Police Scanner,Unknown,5,Never a dull moment!,never a dull moment
Scanner Radio - Police Scanner,Unknown,5,Nice to know what is going on,nice to know what is going on
Scanner Radio - Police Scanner,Unknown,5,greatest scanner app ever!,greatest scanner app ever
Scanner Radio - Police Scanner,Unknown,5,My Side Kick. Places are changing rapidly and I need to be updated when I go visit my family or friends.,my side kick places are changing rapidly and i need to be updated when i go visit my family or friends
Scanner Radio - Police Scanner,Unknown,5,I love scanner radio. it is good to have it on an app now.,i love scanner radio it is good to have it on an app now
Scanner Radio - Police Scanner,Unknown,5,Love it,love it
Scanner Radio - Police Scanner,Unknown,5,work great,work great
Scanner Radio - Police Scanner,Unknown,5,Best scanner I've heard. I listen to it all the time.,best scanner ive heard i listen to it all the time
Scanner Radio - Police Scanner,Unknown,5,good app,good app
Scanner Radio - Police Scanner,Unknown,5,"Easy to use. We have a scanner, so I know it's accurate for the area we live. Hope they add a multi county listening feature in the future. Highly recommended",easy to use we have a scanner so i know its accurate for the area we live hope they add a multi county listening feature in the future highly recommended
Scanner Radio - Police Scanner,Unknown,5,"It's almost perfect, but there is one feature that I'd wish for... scanning. I think it would be cool to be able to ""scan"" multiple feeds at once. I know it's a dream, but that would just top it off! It would also be nice to have a noise canceling feature.",its almost perfect but there is one feature that id wish for scanning i think it would be cool to be able to scan multiple feeds at once i know its a dream but that would just top it off it would also be nice to have a noise canceling feature
Scanner Radio - Police Scanner,Unknown,1,Not free,not free
Scanner Radio - Police Scanner,Unknown,4,would be better if we could listen to PD also,would be better if we could listen to pd also
Scanner Radio - Police Scanner,Unknown,5,ok,ok
Scanner Radio - Police Scanner,Unknown,5,Love this app,love this app
Scanner Radio - Police Scanner,Unknown,5,"App really starting to ugh 😫 me, have the Samsung Galaxy Z Fold 6 and anytime I switch automatically from WiFi to WiFi to cellular the play button comes on stopping the audio and doesn't start 😠 nice connect to cellular and WiFi I have to pull over on EBike and click play. Might have to find a new app",app really starting to ugh me have the samsung galaxy z fold and anytime i switch automatically from wifi to wifi to cellular the play button comes on stopping the audio and doesnt start nice connect to cellular and wifi i have to pull over on ebike and click play might have to find a new app
Scanner Radio - Police Scanner,Unknown,5,Works like it should. A radio,works like it should a radio
Scanner Radio - Police Scanner,Unknown,5,love this app,love this app
Scanner Radio - Police Scanner,Unknown,5,God bless our Public Safety!,god bless our public safety
Scanner Radio - Police Scanner,Unknown,5,Good,good
Scanner Radio - Police Scanner,Unknown,5,"This app gives me real-time access to major events happening in the U.S. I've learned so much about police tactics, fire fighting, and heroic actions during catastrophies by our first responders. Fascinating!",this app gives me realtime access to major events happening in the us ive learned so much about police tactics fire fighting and heroic actions during catastrophies by our first responders fascinating
Scanner Radio - Police Scanner,Unknown,5,Excellent!,excellent
Scanner Radio - Police Scanner,Unknown,1,Not Compadible,not compadible
Scanner Radio - Police Scanner,Unknown,5,i love hearing u guys,i love hearing u guys
Scanner Radio - Police Scanner,Unknown,5,very good app,very good app
Scanner Radio - Police Scanner,Unknown,1,Full screen ads that you can't close out of,full screen ads that you cant close out of
Scanner Radio - Police Scanner,Unknown,5,great app besides static,great app besides static
Scanner Radio - Police Scanner,Unknown,4,definitely'flyty' all fanction,definitelyflyty all fanction
Scanner Radio - Police Scanner,Unknown,5,"all suffolk county, NY police precinct.",all suffolk county ny police precinct
Scanner Radio - Police Scanner,Unknown,5,intelligent.,intelligent
Scanner Radio - Police Scanner,Unknown,5,awesome to listen to,awesome to listen to
Scanner Radio - Police Scanner,Unknown,4,I enjoy the app just wish all reports were same volume but,i enjoy the app just wish all reports were same volume but
Scanner Radio - Police Scanner,Unknown,5,love to listen to my surroundings,love to listen to my surroundings
Scanner Radio - Police Scanner,Unknown,1,app did not work,app did not work
