Appname,Date,Score,Text,text
SwiftScan: Scan PDF Documents,Unknown,4,Would be a 5 but the fact you have to buy credits to fax is lame.,would be a but the fact you have to buy credits to fax is lame
SwiftScan: Scan PDF Documents,Unknown,1,Very bad service,very bad service
SwiftScan: Scan PDF Documents,Unknown,1,"Added page limit. Had this app since the start of the pandemic, and now I will be deleting it.",added page limit had this app since the start of the pandemic and now i will be deleting it
SwiftScan: Scan PDF Documents,Unknown,1,One of the worst apps i have ever used,one of the worst apps i have ever used
SwiftScan: Scan PDF Documents,Unknown,1,"Always processes documents, not sure why, even when All options are turned off. Unless it processes we cannot share or use the document scanned!!",always processes documents not sure why even when all options are turned off unless it processes we cannot share or use the document scanned
SwiftScan: Scan PDF Documents,Unknown,1,Too much adds and restrictions. Just trying to make you pay for it too hard. There are other free and better ones,too much adds and restrictions just trying to make you pay for it too hard there are other free and better ones
SwiftScan: Scan PDF Documents,Unknown,1,Used to be EXCELLENT and now I can not even choose which Google drive folder to synch to ! Why fix what was perfect ? Excellent program but did not appreciate being forced to evaluate to stop interroption. This is a paid program if the customer does not want to make a review give him a break!,used to be excellent and now i can not even choose which google drive folder to synch to why fix what was perfect excellent program but did not appreciate being forced to evaluate to stop interroption this is a paid program if the customer does not want to make a review give him a break
SwiftScan: Scan PDF Documents,Unknown,5,"Great app, wish it was cheaper though",great app wish it was cheaper though
SwiftScan: Scan PDF Documents,Unknown,1,Quality has declined after changing hands. Wasted money on this app. Moved to another free app and getting better scan results.,quality has declined after changing hands wasted money on this app moved to another free app and getting better scan results
SwiftScan: Scan PDF Documents,Unknown,4,Thanks for no longer being blocked by Google Drive. Finally the app does again the one thing it's supposed to do.,thanks for no longer being blocked by google drive finally the app does again the one thing its supposed to do
SwiftScan: Scan PDF Documents,Unknown,5,Issues with gDrive are fixed! The best scanning app (used to be ScanBot) is now working properly again!!! This app is THE BEST.,issues with gdrive are fixed the best scanning app used to be scanbot is now working properly again this app is the best
SwiftScan: Scan PDF Documents,Unknown,5,OK,ok
SwiftScan: Scan PDF Documents,Unknown,3,The scanning works fine but I don't think the AI or OCR works. My pdfs (fairly small) have been stuck in 'queued' and there's no way to cancel it.,the scanning works fine but i dont think the ai or ocr works my pdfs fairly small have been stuck in queued and theres no way to cancel it
SwiftScan: Scan PDF Documents,Unknown,4,Very useable scanner.,very useable scanner
SwiftScan: Scan PDF Documents,Unknown,4,Trying to get a bug figured out with acquiring vip. 5 mega stars if it can be figured out. Otherwise it's a incredible app.,trying to get a bug figured out with acquiring vip mega stars if it can be figured out otherwise its a incredible app
SwiftScan: Scan PDF Documents,Unknown,1,"Not able to connect google drive. It happened starting Jan 2025. Shows ""This app is blocked This app tried to access sensitive info in your Google Account.""",not able to connect google drive it happened starting jan shows this app is blocked this app tried to access sensitive info in your google account
SwiftScan: Scan PDF Documents,Unknown,1,"Too many tricks to get you to click stuff that makes them money, try a free no other info app",too many tricks to get you to click stuff that makes them money try a free no other info app
SwiftScan: Scan PDF Documents,Unknown,1,"Will not let me create a >2 page scan, I expected more from the free version",will not let me create a page scan i expected more from the free version
SwiftScan: Scan PDF Documents,Unknown,5,Super and easy to use App !!,super and easy to use app
SwiftScan: Scan PDF Documents,Unknown,1,"Google Drive Sync is broken and the App shows an error, if you try to establish a connection to your Google Account. Support does not provide any information if and when this will be fixed in the future. Please fix this problem.",google drive sync is broken and the app shows an error if you try to establish a connection to your google account support does not provide any information if and when this will be fixed in the future please fix this problem
SwiftScan: Scan PDF Documents,Unknown,4,Bought lifetime on StackSocial: Need to take a page from camscanner. extract text without having to save a scan. this sprouts be awesome. Request autoupload to more cloud services (pcloud) AND autoupload local folder and ftp. faxing is cool but too expensive.,bought lifetime on stacksocial need to take a page from camscanner extract text without having to save a scan this sprouts be awesome request autoupload to more cloud services pcloud and autoupload local folder and ftp faxing is cool but too expensive
SwiftScan: Scan PDF Documents,Unknown,1,"Used to be great, now the interface is more cluttered, they added AI nonsense and I can't upload to Google drive anymore",used to be great now the interface is more cluttered they added ai nonsense and i cant upload to google drive anymore
SwiftScan: Scan PDF Documents,Unknown,1,Absolutely dumb. When trying to take pictures of mail almost all have a tiny QR code assuming for the senders processing. Damn app won't take a photo of the doc unless I've covered the QR code!!! COME ON.,absolutely dumb when trying to take pictures of mail almost all have a tiny qr code assuming for the senders processing damn app wont take a photo of the doc unless ive covered the qr code come on
SwiftScan: Scan PDF Documents,Unknown,3,"The actual scanning of docs is excellent. However, the interface for uploading documents and pics is convoluted and unreliable. I've lost count on the number of uploads that I have lost while trying to upload to the cloud. The file movements interface should be a simple, easy to use system, which is why my rating is not 5 stars.",the actual scanning of docs is excellent however the interface for uploading documents and pics is convoluted and unreliable ive lost count on the number of uploads that i have lost while trying to upload to the cloud the file movements interface should be a simple easy to use system which is why my rating is not stars
