Appname,Date,Score,Text,text
"pdfFiller Edit, fill, sign PDF",Unknown,1,"Terrible app. Never used it and they reckon charge me a $255.20 subscription fee. I've unsubscribed, deleted my account and uninstall the app",terrible app never used it and they reckon charge me a subscription fee ive unsubscribed deleted my account and uninstall the app
"pdfFiller Edit, fill, sign PDF",Unknown,5,PDFFiller is excellent,pdffiller is excellent
"pdfFiller Edit, fill, sign PDF",Unknown,1,"Not impressed,can't do anything without subscriptions",not impressedcant do anything without subscriptions
"pdfFiller Edit, fill, sign PDF",Unknown,5,Ok,ok
"pdfFiller Edit, fill, sign PDF",Unknown,2,Perfect app,perfect app
"pdfFiller Edit, fill, sign PDF",Unknown,5,"Awesome 👍 I have never had a problem with this App, the only thing i dislike about this app is that its expensive I don't feel like it should be as expensive as it is.",awesome i have never had a problem with this app the only thing i dislike about this app is that its expensive i dont feel like it should be as expensive as it is
"pdfFiller Edit, fill, sign PDF",Unknown,1,"I'm cancel subscription but payment debit from account, I want my refund",im cancel subscription but payment debit from account i want my refund
"pdfFiller Edit, fill, sign PDF",Unknown,1,Very Bad not working for me,very bad not working for me
"pdfFiller Edit, fill, sign PDF",Unknown,5,This app is very helpful it has everything I need to accomplish important tasks.,this app is very helpful it has everything i need to accomplish important tasks
"pdfFiller Edit, fill, sign PDF",Unknown,1,This app is great until you need to save or send the documents. Have you have pay for those features.,this app is great until you need to save or send the documents have you have pay for those features
"pdfFiller Edit, fill, sign PDF",Unknown,5,It's free what the heck and thanks for the response I had an issue with the font size thank you,its free what the heck and thanks for the response i had an issue with the font size thank you
"pdfFiller Edit, fill, sign PDF",Unknown,5,Usé está aplicación para firmar unos documentos y fue muy sencilla de usar. Pagué 0.95£ por una semana de uso y me fue bien pero luego por error me descontaron 39£ de una suscripción que yo no hice. Me puse en contacto con ellos y literalmente en menos de 4min me contestaron y me confirmaron el reembolso del dinero. Así que a pesar de eso quedé contenta y seguro vuelva a usar la app.,usé está aplicación para firmar unos documentos y fue muy sencilla de usar pagué por una semana de uso y me fue bien pero luego por error me descontaron de una suscripción que yo no hice me puse en contacto con ellos y literalmente en menos de min me contestaron y me confirmaron el reembolso del dinero así que a pesar de eso quedé contenta y seguro vuelva a usar la app
"pdfFiller Edit, fill, sign PDF",Unknown,1,Good,good
"pdfFiller Edit, fill, sign PDF",Unknown,1,Why would you charge me a monthly fee for just trying to download the file that is mine. I added 15 words in a textbox and you won't let me download it until I pay!? Solid business plan..,why would you charge me a monthly fee for just trying to download the file that is mine i added words in a textbox and you wont let me download it until i pay solid business plan
"pdfFiller Edit, fill, sign PDF",Unknown,1,Another useless. Doesn't let you move paragraphs! Doesn't let you edit anything basically especially for mobile users who have no laptop or other electronic devices! What is the point of creating something if I doesn't do what I need!,another useless doesnt let you move paragraphs doesnt let you edit anything basically especially for mobile users who have no laptop or other electronic devices what is the point of creating something if i doesnt do what i need
"pdfFiller Edit, fill, sign PDF",Unknown,5,Great app easy to use,great app easy to use
"pdfFiller Edit, fill, sign PDF",Unknown,5,It's actually nice hopefully consistently no payment,its actually nice hopefully consistently no payment
"pdfFiller Edit, fill, sign PDF",Unknown,1,"Difficult to work with. I had to tap multiple times to erase something, and I had almost no control over it. Then, when I went to type something, it wouldn't let me do anything!",difficult to work with i had to tap multiple times to erase something and i had almost no control over it then when i went to type something it wouldnt let me do anything
"pdfFiller Edit, fill, sign PDF",Unknown,1,"Free to download free to upload and fill out any document or form but before you can download,send,or print you are required to buy a subscription but u can get a 7 day free trial upon buying a subscription and after they validate ur payment information...yeah no I will not be using this so app ever again.",free to download free to upload and fill out any document or form but before you can downloadsendor print you are required to buy a subscription but u can get a day free trial upon buying a subscription and after they validate ur payment informationyeah no i will not be using this so app ever again
"pdfFiller Edit, fill, sign PDF",Unknown,5,Nice app,nice app
"pdfFiller Edit, fill, sign PDF",Unknown,1,Waits until you do all the work to tell you it's gonna cost money,waits until you do all the work to tell you its gonna cost money
"pdfFiller Edit, fill, sign PDF",Unknown,5,"I just used this app for a school assignment and had to use the free trial to download the file I was working on. I tried to cancel this free trial, but I was still billed for an annual plan. I contacted support about 2 days after the payment went through. I explained the situation and the support member who helped me, Aiden, was very kind to me. I got a full refund. I can't speak to how well this app runs, but their customer service is top tier! Thank you for your understanding and kindness!",i just used this app for a school assignment and had to use the free trial to download the file i was working on i tried to cancel this free trial but i was still billed for an annual plan i contacted support about days after the payment went through i explained the situation and the support member who helped me aiden was very kind to me i got a full refund i cant speak to how well this app runs but their customer service is top tier thank you for your understanding and kindness
"pdfFiller Edit, fill, sign PDF",Unknown,1,Monthly Sub required,monthly sub required
"pdfFiller Edit, fill, sign PDF",Unknown,5,Nice experience,nice experience
"pdfFiller Edit, fill, sign PDF",Unknown,1,"I've been using this app since yesterday and am having trouble using some of its features. I have tried to email myself the documents and even save them , but when I try to sign up for the free trial to get the apps fratures active. It shows me a dialogue box and forces me out of the app. It needs its bugs fixed immediately.",ive been using this app since yesterday and am having trouble using some of its features i have tried to email myself the documents and even save them but when i try to sign up for the free trial to get the apps fratures active it shows me a dialogue box and forces me out of the app it needs its bugs fixed immediately
"pdfFiller Edit, fill, sign PDF",Unknown,1,Paywall,paywall
"pdfFiller Edit, fill, sign PDF",Unknown,1,A waste of time,a waste of time
"pdfFiller Edit, fill, sign PDF",Unknown,4,"It was a bit difficult to use at the beginning after setting up the account especially accessing the documents we needed to print, email and share as well as adding team members, but finally figured it out after 3 hours of working the links etc. The offline feature works nicely for us, so we are very pleased using this app as it meets our current needs.",it was a bit difficult to use at the beginning after setting up the account especially accessing the documents we needed to print email and share as well as adding team members but finally figured it out after hours of working the links etc the offline feature works nicely for us so we are very pleased using this app as it meets our current needs
"pdfFiller Edit, fill, sign PDF",Unknown,1,App requires an account. Not lightweight and simple at all. Pure trash.,app requires an account not lightweight and simple at all pure trash
"pdfFiller Edit, fill, sign PDF",Unknown,1,This is a scam app They took my 96 dollors without my permission dont take,this is a scam app they took my dollors without my permission dont take
"pdfFiller Edit, fill, sign PDF",Unknown,5,AMAZING!!!,amazing
