Appname,Date,Score,Text,sentiment
KineMaster - Video Editor,Unknown,5,kinemaster editing best app,5
KineMaster - Video Editor,Unknown,1,Logo problem,1
KineMaster - Video Editor,Unknown,5,Very good app but watermark is big issue.,4
KineMaster - Video Editor,Unknown,5,ধন্যবাদ,5
KineMaster - Video Editor,Unknown,5,Nice,4
KineMaster - Video Editor,Unknown,5,good,4
KineMaster - Video Editor,Unknown,5,Very nice,5
KineMaster - Video Editor,Unknown,5,very good editing 💯💯💯,5
KineMaster - Video Editor,Unknown,1,save problem,1
KineMaster - Video Editor,Unknown,5,Best ❤️❤️💪🤟,5
KineMaster - Video Editor,Unknown,1,This aap is excellent. I like to much. Thank you so much.,5
KineMaster - Video Editor,Unknown,5,good app,4
KineMaster - Video Editor,Unknown,3,good app! love it but the ads are annyoying,4
KineMaster - Video Editor,Unknown,3,Good,4
KineMaster - Video Editor,Unknown,5,best for minded editing,5
KineMaster - Video Editor,Unknown,2,water mark not good,1
KineMaster - Video Editor,Unknown,5,super,5
KineMaster - Video Editor,Unknown,5,good,4
KineMaster - Video Editor,Unknown,5,super,5
KineMaster - Video Editor,Unknown,5,nice softwere very comfortable,5
KineMaster - Video Editor,Unknown,4,kine master is best editor app in all editors kinemaster is all good for edit,5
KineMaster - Video Editor,Unknown,4,"Very nice 👍 , There is many features . And also keep going with many features...",5
KineMaster - Video Editor,Unknown,1,good,4
KineMaster - Video Editor,Unknown,4,good app,4
KineMaster - Video Editor,Unknown,4,It is good but it would be great if the watermark is removed,3
KineMaster - Video Editor,Unknown,4,super,5
KineMaster - Video Editor,Unknown,5,❣️❣️,5
KineMaster - Video Editor,Unknown,5,nice 🙂,5
KineMaster - Video Editor,Unknown,1,Thank you,5
KineMaster - Video Editor,Unknown,2,I am not able to understand this app,2
KineMaster - Video Editor,Unknown,5,Good,4
KineMaster - Video Editor,Unknown,1,app is not working when going more and more zoom or enhance timeline,1
KineMaster - Video Editor,Unknown,5,Best app,5
KineMaster - Video Editor,Unknown,5,very good this one,5
KineMaster - Video Editor,Unknown,5,owo 😘,3
KineMaster - Video Editor,Unknown,4,Good app,4
KineMaster - Video Editor,Unknown,5,Kine master is the best editor I give 5 star ⭐✨,5
KineMaster - Video Editor,Unknown,4,there is water logo so i give 4 stars,4
KineMaster - Video Editor,Unknown,5,🥰🥰🥰🥲,5
KineMaster - Video Editor,Unknown,5,very good effects and lot of things raigarh software for editing and beginners pro editing effects,5
KineMaster - Video Editor,Unknown,5,really useful app,5
KineMaster - Video Editor,Unknown,3,Goobat goodd to see bat Good video editors,4
KineMaster - Video Editor,Unknown,5,best video editor,5
KineMaster - Video Editor,Unknown,5,It is very useful app,5
KineMaster - Video Editor,Unknown,5,i like it app,4
KineMaster - Video Editor,Unknown,4,nice,4
KineMaster - Video Editor,Unknown,5,Awesome App using long time very useful,5
KineMaster - Video Editor,Unknown,5,Good,4
KineMaster - Video Editor,Unknown,5,Very Good!,5
KineMaster - Video Editor,Unknown,5,Good,4
KineMaster - Video Editor,Unknown,5,nice,4
KineMaster - Video Editor,Unknown,5,nice,4
KineMaster - Video Editor,Unknown,5,This is a very good app... It is the number one app for editing♥️,5
KineMaster - Video Editor,Unknown,5,my best apply,5
KineMaster - Video Editor,Unknown,5,extremely nice app,5
KineMaster - Video Editor,Unknown,5,this app has been helping me edit the videos I make on my YouTube channel,5
KineMaster - Video Editor,Unknown,5,nice,4
KineMaster - Video Editor,Unknown,4,best editing app,5
KineMaster - Video Editor,Unknown,5,Yay,3
KineMaster - Video Editor,Unknown,5,I like how you can edit the video and choose effects for it and arrange the different effects on it and how smooth it is,4
KineMaster - Video Editor,Unknown,4,good App,4
KineMaster - Video Editor,Unknown,3,Good but it needs to upgrade with more features I'm sorry bcuz I deleted it,3
KineMaster - Video Editor,Unknown,5,download problem,1
KineMaster - Video Editor,Unknown,5,Best nice,5
KineMaster - Video Editor,Unknown,5,good,4
KineMaster - Video Editor,Unknown,5,Best for editing this app ilike and give 5 star,5
KineMaster - Video Editor,Unknown,5,good,4
KineMaster - Video Editor,Unknown,5,very nice,5
KineMaster - Video Editor,Unknown,5,very nice,5
KineMaster - Video Editor,Unknown,5,good,4
KineMaster - Video Editor,Unknown,4,We need motion tracking,3
KineMaster - Video Editor,Unknown,5,video editing good,4
KineMaster - Video Editor,Unknown,5,a good editing app but I wish this had more features in it 🫤,3
