Appname,Date,Score,Text,sentiment
Snaptune AI Photo Editor,Unknown,1,Delete this app,1
Snaptune AI Photo Editor,Unknown,5,"🙅🏻‍♂️🙏🏻Great🙂Nice Ai Snaptune , Thank You 🙅🏻‍♂️🙏🏻",5
Snaptune AI Photo Editor,Unknown,4,ये अच्छा ऐप है।इस में बैकग्राउंड अच्छा आता है।ओर फोटो क्लियर आती हैं।इस में आप कोई दुकान का एड भी कर सकते है,4
Snaptune AI Photo Editor,Unknown,1,Kopppile app,5
Snaptune AI Photo Editor,Unknown,5,Wonderful experience with this app,5
Snaptune AI Photo Editor,Unknown,5,So nice easy to use,5
Snaptune AI Photo Editor,Unknown,1,Benni i9 jvb7i,5
Snaptune AI Photo Editor,Unknown,1,Alighulam R,1
Snaptune AI Photo Editor,Unknown,5,I want to learn and study,4
Snaptune AI Photo Editor,Unknown,5,Ubvci,1
Snaptune AI Photo Editor,Unknown,5,Nice,4
Snaptune AI Photo Editor,Unknown,1,Don't waste your data to download this useless and sh#ty app,1
Snaptune AI Photo Editor,Unknown,5,Khol de,1
Snaptune AI Photo Editor,Unknown,1,Seenu. R,3
Snaptune AI Photo Editor,Unknown,1,Faltu,1
Snaptune AI Photo Editor,Unknown,5,BALVEER. Yadav,5
Snaptune AI Photo Editor,Unknown,5,This App is Great i Edited my photo Yesterday and This app make A Beautiful PROFILE PHOTO THANKS TO THIS APP CRETORS👍.,5
Snaptune AI Photo Editor,Unknown,5,🥰🥰🥰🙅👺,5
Snaptune AI Photo Editor,Unknown,5,এক্সাম,5
Snaptune AI Photo Editor,Unknown,4,😭🍍,5
Snaptune AI Photo Editor,Unknown,5,Bishnu k,3
Snaptune AI Photo Editor,Unknown,5,Xxxes,5
Snaptune AI Photo Editor,Unknown,5,it's easy and amazing,5
Snaptune AI Photo Editor,Unknown,4,good,4
Snaptune AI Photo Editor,Unknown,5,Tunakadraka,5
Snaptune AI Photo Editor,Unknown,5,Useful,4
Snaptune AI Photo Editor,Unknown,3,Kenana bekama,4
Snaptune AI Photo Editor,Unknown,5,Super,5
Snaptune AI Photo Editor,Unknown,1,I tried to get it but it didint let me say how you so it in the comments,3
Snaptune AI Photo Editor,Unknown,4,সপিকুল,4
Snaptune AI Photo Editor,Unknown,5,Yasir muhmood,4
Snaptune AI Photo Editor,Unknown,1,no....use.....stupid.app,1
Snaptune AI Photo Editor,Unknown,1,Worst app ever,1
Snaptune AI Photo Editor,Unknown,1,"Ad plague infested, from opening the app, selecting language, to finally reaching the app main menu, ads everywhere and almost every new ""page"", also click on menu button? Advert... App did not have what I was looking for, so could only review the rest before giving up from all the ad apam not being worth my time if the app can't deliver anyway.",1
Snaptune AI Photo Editor,Unknown,1,"OMG, Ads (that hijack) and misleading features, trying to look like a slick app, but is a resource hog. Terrible app.",1
Snaptune AI Photo Editor,Unknown,1,I have download it seeing multiple good reviews but it's not downloading templates every time msg displays almost there but at the end nothing happen,2
Snaptune AI Photo Editor,Unknown,5,nice app,4
Snaptune AI Photo Editor,Unknown,5,100 percent fake hang tight error 👎👎👎👎,1
Snaptune AI Photo Editor,Unknown,5,Cool,5
Snaptune AI Photo Editor,Unknown,1,Very bad not work good,1
Snaptune AI Photo Editor,Unknown,1,so dirty app I don't like it 🤬🤬,1
Snaptune AI Photo Editor,Unknown,1,Not working it says hang out working on progress i waited for ten min nothing worked,1
Snaptune AI Photo Editor,Unknown,5,Well done,5
Snaptune AI Photo Editor,Unknown,1,"Wrost ,app westing not have any features, making",1
Snaptune AI Photo Editor,Unknown,5,९८६८१७०७१६,3
Snaptune AI Photo Editor,Unknown,5,Looking good,4
Snaptune AI Photo Editor,Unknown,5,Amazing..Excellent...Awesome..!,5
Snaptune AI Photo Editor,Unknown,5,I like snaptune and use it to make collages for my kids...,4
Snaptune AI Photo Editor,Unknown,5,𝕠𝕞 𝕔𝕙𝕒𝕟𝕕𝕒𝕟 𝕜𝕦𝕞𝕒𝕣 𝕥𝕙𝕒𝕜𝕦𝕒𝕣,5
Snaptune AI Photo Editor,Unknown,5,super app,5
Snaptune AI Photo Editor,Unknown,5,It's fun app ❤️🙂,4
Snaptune AI Photo Editor,Unknown,1,Phonefullyesta,1
Snaptune AI Photo Editor,Unknown,1,"You have to pay for her to use it.How stupid it's free to download.But when you get home there, you have to pay for it to use it.What kind of app is it?That you have to pay for it to use it but it's free to download. And I really wanted to use this app.I will not recommend it for anyone else to use it",1
Snaptune AI Photo Editor,Unknown,5,Love it,5
Snaptune AI Photo Editor,Unknown,5,AjayKumar,3
Snaptune AI Photo Editor,Unknown,5,Good app,4
Snaptune AI Photo Editor,Unknown,1,Frauds Worthless,1
Snaptune AI Photo Editor,Unknown,5,Snaptune is a fantastic app for editing photos! It's super easy to use and has lots of cool templates and collages. You can make your photos look awesome with just a few taps. And sharing them with friends is really simple too.,5
Snaptune AI Photo Editor,Unknown,5,Pawan,4
Snaptune AI Photo Editor,Unknown,5,"Esa es mi música,and y de acuerdo con ustedes ,pero dr de ustr",5
Snaptune AI Photo Editor,Unknown,5,"Smooth and easy experience. Nice AI features, It helped alot. A big thanks to developer.",5
Snaptune AI Photo Editor,Unknown,2,Just now I will try,5
Snaptune AI Photo Editor,Unknown,5,My experience so far has been excelent with the AI. It gets it right on the on the dot.,5
Snaptune AI Photo Editor,Unknown,5,"Very decent frames, also the variety and options are wide. Loved it.",4
Snaptune AI Photo Editor,Unknown,4,Trying it out will know later..,3
Snaptune AI Photo Editor,Unknown,5,Tushiya..very Good,5
Snaptune AI Photo Editor,Unknown,5,Great app 👌,5
Snaptune AI Photo Editor,Unknown,5,I love this snaptune,5
Snaptune AI Photo Editor,Unknown,5,I would like to decorate and design,4
Snaptune AI Photo Editor,Unknown,5,I love this snaptune app store much 💓💕😍,5
Snaptune AI Photo Editor,Unknown,5,Snaptune is a best family and personal photography app. It includes ai features as well,5
Snaptune AI Photo Editor,Unknown,5,nice app,4
Snaptune AI Photo Editor,Unknown,5,Sat,5
Snaptune AI Photo Editor,Unknown,1,Shapfin,4
Snaptune AI Photo Editor,Unknown,5,ok,3
Snaptune AI Photo Editor,Unknown,5,Great 👍,5
Snaptune AI Photo Editor,Unknown,5,Lakna,4
Snaptune AI Photo Editor,Unknown,5,Excellent app. I absolutely love it. Great work.,5
Snaptune AI Photo Editor,Unknown,3,My.one,5
Snaptune AI Photo Editor,Unknown,5,Love it✅✅✅✅✅✅,5
Snaptune AI Photo Editor,Unknown,5,রেট,3
Snaptune AI Photo Editor,Unknown,5,One of the best apps I have ever used,5
Snaptune AI Photo Editor,Unknown,5,Love,5
Snaptune AI Photo Editor,Unknown,5,"Wow,snap tune is great.🌝🤓💝💯💤👌🌺🌈🦚🍊🍥",5
Snaptune AI Photo Editor,Unknown,3,Good,4
Snaptune AI Photo Editor,Unknown,5,This is great app for selfish and photos,5
Snaptune AI Photo Editor,Unknown,3,Ajd,5
Snaptune AI Photo Editor,Unknown,1,"Keep it up,a nice app",4
Snaptune AI Photo Editor,Unknown,5,By am.,3
Snaptune AI Photo Editor,Unknown,5,Excellent,5
Snaptune AI Photo Editor,Unknown,5,This is my first 🥇 time trying Snaptune. Thank you very much. I hope I explored how to put 2 pictures side by side. 😉 Have a nice Monday & be blessed daily.,5
Snaptune AI Photo Editor,Unknown,2,good,4
Snaptune AI Photo Editor,Unknown,5,بيجنن انصح فيه,1
Snaptune AI Photo Editor,Unknown,5,Excellent,5
Snaptune AI Photo Editor,Unknown,5,Bahut badhiya app hai,1
Snaptune AI Photo Editor,Unknown,5,Good,4
Snaptune AI Photo Editor,Unknown,5,Good,4
Snaptune AI Photo Editor,Unknown,5,SnapTune is a wonderful app for love photo frames creative photo frames festival photo frames and many more categories. I like the photo editor and collage feature also. Its works fine and very smooth. Recommended 👍👍❤️😍,5
Snaptune AI Photo Editor,Unknown,5,Snaptune is a very helpful app when it comes to photos. I'm amazed with the new update. Loved it,5
Snaptune AI Photo Editor,Unknown,5,I really love Snaptune app. Great job by Signature exp. Excellent quality of frames and collage collection with a state of the art photo editor. Snaptune app is easy to use with smooth flow.,5
Snaptune AI Photo Editor,Unknown,5,Install,5
Snaptune AI Photo Editor,Unknown,5,I like photo frame app. Variety of frames and smoothness really amazing. Snaptue is very easy to use and simple to navigate. I usually get frames and add my pictures of family in it by using collage feature.,5
Snaptune AI Photo Editor,Unknown,5,Awesome!!!,5
Snaptune AI Photo Editor,Unknown,5,No tune at all what you say,1
Snaptune AI Photo Editor,Unknown,5,Very excellent 👌,5
Snaptune AI Photo Editor,Unknown,4,Nice,4
Snaptune AI Photo Editor,Unknown,5,just woooowoo,1
Snaptune AI Photo Editor,Unknown,5,quality frame,5
Snaptune AI Photo Editor,Unknown,5,Nice and beautiful ❤️,5
Snaptune AI Photo Editor,Unknown,5,Ok.,3
Snaptune AI Photo Editor,Unknown,5,Great app!,5
Snaptune AI Photo Editor,Unknown,2,Somaram ji,3
Snaptune AI Photo Editor,Unknown,1,chhotu.kumak,3
Snaptune AI Photo Editor,Unknown,2,Princhkumar,4
Snaptune AI Photo Editor,Unknown,5,Omkumai,3
Snaptune AI Photo Editor,Unknown,5,Anu,5
Snaptune AI Photo Editor,Unknown,5,Okay,3
