Appname,Date,Score,Text,sentiment
VITA - Video Editor & Maker,Unknown,5,Superb,5
VITA - Video Editor & Maker,Unknown,5,🥰supper💐,5
VITA - Video Editor & Maker,Unknown,5,Most useful aap try this it's soo smooth and no adds i really like this aap,5
VITA - Video Editor & Maker,Unknown,5,It was really such a nice video's or photos editing,5
VITA - Video Editor & Maker,Unknown,5,Very excellent.I am enjoying it for long time.,5
VITA - Video Editor & Maker,Unknown,2,👍,5
VITA - Video Editor & Maker,Unknown,3,Nice 👍,5
VITA - Video Editor & Maker,Unknown,5,Thank you 🙏🙏🙏🙏 best app hai Bhai,5
VITA - Video Editor & Maker,Unknown,5,ಸೂಪರ್ ಸೂಪರ್ 👌👌👌,5
VITA - Video Editor & Maker,Unknown,5,This aap vita aap is my favourite edit aap no essi,5
VITA - Video Editor & Maker,Unknown,1,Okey,3
VITA - Video Editor & Maker,Unknown,5,Super👌🏻👌🏻💞,5
VITA - Video Editor & Maker,Unknown,5,I have problem with music please make it better,3
VITA - Video Editor & Maker,Unknown,5,nice app,4
VITA - Video Editor & Maker,Unknown,5,Really amazing app. And totally free. I am so happy with this app. Thank you Vita team 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5
VITA - Video Editor & Maker,Unknown,1,Lags tooo tooo much,2
VITA - Video Editor & Maker,Unknown,5,best,5
VITA - Video Editor & Maker,Unknown,1,"Very bad experience, cannot do high quality video editing with you. What is that",1
VITA - Video Editor & Maker,Unknown,5,It is very easy to editing best for video editing and also reel,5
VITA - Video Editor & Maker,Unknown,5,It was a great experience to use this app ! I love this very much 😍💞,5
VITA - Video Editor & Maker,Unknown,4,Very nice app,5
VITA - Video Editor & Maker,Unknown,5,This was very nice and I love it,5
VITA - Video Editor & Maker,Unknown,5,Very nic e to edit my channel with,5
VITA - Video Editor & Maker,Unknown,5,Very good app,5
VITA - Video Editor & Maker,Unknown,5,Perfect,5
VITA - Video Editor & Maker,Unknown,4,Best,5
VITA - Video Editor & Maker,Unknown,5,I have a youTube channel and I don't know how to edit but vita make my video best💮💮💮,5
VITA - Video Editor & Maker,Unknown,5,I love it 💗🙃,5
VITA - Video Editor & Maker,Unknown,4,Gajab,3
VITA - Video Editor & Maker,Unknown,5,"Very nice and l enjoyed editing with this app, its a good suggestion for beginners",5
VITA - Video Editor & Maker,Unknown,1,Worst app ever whenever I export it get freeze and when I will start the video the video also get freeze,1
VITA - Video Editor & Maker,Unknown,1,After editing so long when I started to export the video....It didn't get exported and all my efforts went into vein. It is a complete waste of time and effort,1
VITA - Video Editor & Maker,Unknown,4,Good,4
VITA - Video Editor & Maker,Unknown,4,My favourite editing app but video saving problem,3
VITA - Video Editor & Maker,Unknown,1,bekar app hai bhai export mei dikkat aayegi aur phone fasega,1
VITA - Video Editor & Maker,Unknown,5,This is so best apply,5
VITA - Video Editor & Maker,Unknown,4,Nice 👍,5
VITA - Video Editor & Maker,Unknown,5,good,4
VITA - Video Editor & Maker,Unknown,4,This ap is soo good but it give us watermark,3
VITA - Video Editor & Maker,Unknown,5,Mast,2
VITA - Video Editor & Maker,Unknown,5,Aswm app it's really helpful for me,5
VITA - Video Editor & Maker,Unknown,5,Love this app ... everything is so easy to understand and aesthetic also... Highly recommended,5
VITA - Video Editor & Maker,Unknown,5,Very best app in the world,5
VITA - Video Editor & Maker,Unknown,5,best app that i seen,5
VITA - Video Editor & Maker,Unknown,5,Very Osom aap i love it,5
VITA - Video Editor & Maker,Unknown,5,This app is so good app It is better then capcut,5
VITA - Video Editor & Maker,Unknown,5,VITA video editing app Very nice app. me is app ko 5⭐ star sa rating deta hun. Thank you,5
VITA - Video Editor & Maker,Unknown,5,Every nice,5
VITA - Video Editor & Maker,Unknown,5,Superb,5
VITA - Video Editor & Maker,Unknown,5,Mst hai par Ad bhut aata hai but free me sahi hai,1
VITA - Video Editor & Maker,Unknown,5,Great 👌 app for editing video,5
VITA - Video Editor & Maker,Unknown,4,This app contains lot of effects but fps doesn't work properly,2
VITA - Video Editor & Maker,Unknown,5,Excellent app,5
VITA - Video Editor & Maker,Unknown,5,Best,5
VITA - Video Editor & Maker,Unknown,4,Wow nice,5
VITA - Video Editor & Maker,Unknown,4,I really like it,5
VITA - Video Editor & Maker,Unknown,5,Nice app,4
VITA - Video Editor & Maker,Unknown,1,It is a good app,4
VITA - Video Editor & Maker,Unknown,5,Good,4
VITA - Video Editor & Maker,Unknown,3,🥰🥰,5
VITA - Video Editor & Maker,Unknown,5,nice aap,4
VITA - Video Editor & Maker,Unknown,5,Bro op,3
VITA - Video Editor & Maker,Unknown,5,This app is great,5
VITA - Video Editor & Maker,Unknown,5,Very nice app but please update the update app tool also in this no water mark it free,4
VITA - Video Editor & Maker,Unknown,5,very nice app,5
VITA - Video Editor & Maker,Unknown,4,Too good,2
VITA - Video Editor & Maker,Unknown,4,Ok,3
VITA - Video Editor & Maker,Unknown,1,Good appp working for easy editing,4
VITA - Video Editor & Maker,Unknown,5,Nice,4
VITA - Video Editor & Maker,Unknown,5,This is very nice app,5
VITA - Video Editor & Maker,Unknown,5,Good,4
VITA - Video Editor & Maker,Unknown,5,Great App 🌹🌹🌹,5
VITA - Video Editor & Maker,Unknown,5,App is greater than cap cut,3
VITA - Video Editor & Maker,Unknown,1,Video sound mismatch after editing and video duration became smaller also the time of end of the video video will stop and sound is continued. Roast app,2
VITA - Video Editor & Maker,Unknown,5,Very nice app edit Kare NE ke liye,5
VITA - Video Editor & Maker,Unknown,3,Very easy to edit videos,5
VITA - Video Editor & Maker,Unknown,5,Its very helpful,5
VITA - Video Editor & Maker,Unknown,4,Great Editing App I Like This Because This App Is Full Free You Should Use This It Better Than CapCut Because CapCut NowAdays Is Premium Version is Better Not Free So I Like This App 🤩💝 & Yeah Please Don't Do Any Purchase In This App!,5
VITA - Video Editor & Maker,Unknown,5,Nice 👍👍,5
VITA - Video Editor & Maker,Unknown,5,Very nice,5
VITA - Video Editor & Maker,Unknown,5,Very nice 👍,5
VITA - Video Editor & Maker,Unknown,1,Best aap,5
VITA - Video Editor & Maker,Unknown,5,Wonderful experiences... Overall best..,5
VITA - Video Editor & Maker,Unknown,5,Very nice,5
VITA - Video Editor & Maker,Unknown,5,बहुत अच्छा विडियो एडिटर एप्प,5
VITA - Video Editor & Maker,Unknown,5,This app is amazing and I am satisfied with this app thk you vita 🌿🍂🪷💕,5
VITA - Video Editor & Maker,Unknown,1,Good,4
VITA - Video Editor & Maker,Unknown,1,Nice very very useful app for vita,5
VITA - Video Editor & Maker,Unknown,4,Nice editing app but it need to add more social media,3
VITA - Video Editor & Maker,Unknown,5,Good,4
VITA - Video Editor & Maker,Unknown,5,One of the best app,5
VITA - Video Editor & Maker,Unknown,5,Idk whatto say but it's so good,4
VITA - Video Editor & Maker,Unknown,4,Nice apk except slow speed,4
VITA - Video Editor & Maker,Unknown,5,"I am telling the truth, I am very happy after getting this app, it provides much better editing than CapCut without any VPN. Thank you very much to whoever made this app 😊🥰🥰🥰😍🤩🤩🥳",5
VITA - Video Editor & Maker,Unknown,5,"I actually like this, made my performance more catchy. Love it must try",5
VITA - Video Editor & Maker,Unknown,5,Nice,4
VITA - Video Editor & Maker,Unknown,4,Very nice app and has many options. Overall I like it,4
VITA - Video Editor & Maker,Unknown,3,Herbal export karne ke bad reject ho jata hai yah galat baat hai,1
VITA - Video Editor & Maker,Unknown,5,Very easy to use Love it,5
VITA - Video Editor & Maker,Unknown,5,This app is awesome,5
VITA - Video Editor & Maker,Unknown,5,I think this editor is better than Capcut and Video 📸 editor of the 2024 and all time. I think this app have to add more features☠️✨,5
VITA - Video Editor & Maker,Unknown,2,Nice video edit,4
VITA - Video Editor & Maker,Unknown,4,Nice,4
VITA - Video Editor & Maker,Unknown,5,Super,5
VITA - Video Editor & Maker,Unknown,5,Cool,5
VITA - Video Editor & Maker,Unknown,5,This is very helpful for editing,5
VITA - Video Editor & Maker,Unknown,5,wow,5
VITA - Video Editor & Maker,Unknown,5,nice,4
VITA - Video Editor & Maker,Unknown,3,Wow Nice,5
VITA - Video Editor & Maker,Unknown,5,Great 👍💯 app,5
VITA - Video Editor & Maker,Unknown,5,Very very very good 💯💯😊😊😊😊 happy only one app vita very 👍🏻 all guys try good service,5
VITA - Video Editor & Maker,Unknown,4,Nice,4
VITA - Video Editor & Maker,Unknown,5,Nice app,4
VITA - Video Editor & Maker,Unknown,5,Excellent 👌👌👌,5
VITA - Video Editor & Maker,Unknown,4,This app is pretty Good 👍,4
VITA - Video Editor & Maker,Unknown,5,Good👌,5
VITA - Video Editor & Maker,Unknown,5,Father off Editing apps,1
VITA - Video Editor & Maker,Unknown,5,This is very good app👍👍👍👍,5
VITA - Video Editor & Maker,Unknown,4,Good effect but give some options in music,3
VITA - Video Editor & Maker,Unknown,5,Best app in free at at first I don't believe but now I will l love this app,5
VITA - Video Editor & Maker,Unknown,5,Bhut acha,1
VITA - Video Editor & Maker,Unknown,5,This is no tracking video,1
VITA - Video Editor & Maker,Unknown,5,Oo very much good,5
VITA - Video Editor & Maker,Unknown,5,I love the most best editing app in the whole universe,5
VITA - Video Editor & Maker,Unknown,3,Very good app,5
VITA - Video Editor & Maker,Unknown,4,Easy to use,5
VITA - Video Editor & Maker,Unknown,5,Favourite editing app in one day use,5
VITA - Video Editor & Maker,Unknown,5,Very useful this aap My contact creates,5
VITA - Video Editor & Maker,Unknown,5,Very nice app we can edit by using template. Thanks vitaa👏🏻,5
VITA - Video Editor & Maker,Unknown,5,This app is very good work,5
VITA - Video Editor & Maker,Unknown,5,King app 👍 👌 🦅,5
VITA - Video Editor & Maker,Unknown,5,Best 👌,5
VITA - Video Editor & Maker,Unknown,4,Add songs with types,4
VITA - Video Editor & Maker,Unknown,5,"This is a very good editing app ,😁😁😁",5
VITA - Video Editor & Maker,Unknown,5,It is very useful editing app I am using it for my yt vedioes,5
