Appname,Date,Score,Text,sentiment
VN - Video Editor & Maker,Unknown,5,Super and free,5
VN - Video Editor & Maker,Unknown,5,Best app 👀,5
VN - Video Editor & Maker,Unknown,3,Good,4
VN - Video Editor & Maker,Unknown,5,It's a wonderful app. I strongly recommend,5
VN - Video Editor & Maker,Unknown,5,Vn is the best. Other app. They just keep focusing on selling premium. 🤡. But vn don't. And it's simple too. I love them.,5
VN - Video Editor & Maker,Unknown,5,PUNNETH,1
VN - Video Editor & Maker,Unknown,5,Super Vn App,5
VN - Video Editor & Maker,Unknown,5,Nice,4
VN - Video Editor & Maker,Unknown,5,It's very easy to operate and has nice and cool features,5
VN - Video Editor & Maker,Unknown,5,Good,4
VN - Video Editor & Maker,Unknown,5,Good,4
VN - Video Editor & Maker,Unknown,4,Isma song nhi aati ha,1
VN - Video Editor & Maker,Unknown,2,Nice,4
VN - Video Editor & Maker,Unknown,5,Best,5
VN - Video Editor & Maker,Unknown,1,😤🤢🤮,5
VN - Video Editor & Maker,Unknown,5,Nice 👍 good,4
VN - Video Editor & Maker,Unknown,3,we,5
VN - Video Editor & Maker,Unknown,5,Cool,5
VN - Video Editor & Maker,Unknown,2,Hello Dosto,5
VN - Video Editor & Maker,Unknown,5,"Nice app,, I very like it.",5
VN - Video Editor & Maker,Unknown,5,Nice,4
VN - Video Editor & Maker,Unknown,4,Very good,5
VN - Video Editor & Maker,Unknown,5,Great,5
VN - Video Editor & Maker,Unknown,1,Very good,5
VN - Video Editor & Maker,Unknown,5,Nice,4
VN - Video Editor & Maker,Unknown,5,Good,4
VN - Video Editor & Maker,Unknown,4,I love this application being an editor and content creator,5
VN - Video Editor & Maker,Unknown,5,Good,4
VN - Video Editor & Maker,Unknown,5,Great 👍,5
VN - Video Editor & Maker,Unknown,5,Excellent 👌👌👌,5
VN - Video Editor & Maker,Unknown,5,Nice great second time used 👍 interest,5
VN - Video Editor & Maker,Unknown,5,Nice app 👍,5
VN - Video Editor & Maker,Unknown,4,Hoog,3
VN - Video Editor & Maker,Unknown,4,Nice 🙂,5
VN - Video Editor & Maker,Unknown,5,NYC working and good app,5
VN - Video Editor & Maker,Unknown,5,One of the best video editor in the world 🌍,5
VN - Video Editor & Maker,Unknown,1,"Need animationats effects, LIKE INSHOT,",3
VN - Video Editor & Maker,Unknown,5,Cool,5
