"Appname","AppId","Date","Score","Text","ReplyText"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Its very good to use, my life changed because of it i was in the middle of the woods about to die but i realized something caled whatsapp so i downloaded it and that saved my life thanks for creating whatsapp.","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Khuda Bakhs","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Bad","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Very good it allows to stay in contact with family + friends","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",1,"🙂🙂👍","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Excellent service","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Please my WhatsApp on unlimited and band places","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Best app","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",5,"Good","No reply"
"WhatsApp Messenger","com.whatsapp","Unknown",2,"Faisal","No reply"
"Snapchat","com.snapchat.android","Unknown",5,"This app was amazing 🤩 I personally love it. you can download this app . Perfect 👍🏼","No reply"
"Snapchat","com.snapchat.android","Unknown",1,"Meri kuch photo delete ho gyi vo vapas nhi a rhi very bad app","No reply"
"Snapchat","com.snapchat.android","Unknown",1,"Mast ha bhai","No reply"
"Snapchat","com.snapchat.android","Unknown",4,"Nice 👍","No reply"
"Snapchat","com.snapchat.android","Unknown",1,"Hey snapchat my snapchat id username; shubhamtwarrior I am facing zero views problem on snapchat spotlight video's and I am complaining too many times and this can't fix by customer helpline so please fix this issue","No reply"
"Snapchat","com.snapchat.android","Unknown",5,"I am so happy with you 💕 my dear friend","No reply"
"Snapchat","com.snapchat.android","Unknown",5,"Badhiya ha bhai download krle , I got online GF","No reply"
"Snapchat","com.snapchat.android","Unknown",1,"Best app","No reply"
"Snapchat","com.snapchat.android","Unknown",1,"Please let me get rid of MyAI. It's pinned to the top of chats and I can't get rid of it. Also the ads have gotten out of hand.","No reply"
"Snapchat","com.snapchat.android","Unknown",5,"well............... I am not one of many words I have not used the app b4 according to my sis she does not like it bc her data flows like river jordan when she turns the app on🙍🤔😄😄😒😒😏😏😎😎😎","No reply"
"Messenger","com.facebook.orca","Unknown",5,"great way to keep in touch 👌","No reply"
"Messenger","com.facebook.orca","Unknown",5,"nice","No reply"
"Messenger","com.facebook.orca","Unknown",1,"Why am I unable to see my messages? About 6 people sent me messages but I can't see them? And that dumb security feature just has me losing my messages instead. Very poor experience. I hate it","No reply"
"Messenger","com.facebook.orca","Unknown",5,"Very good","No reply"
"Messenger","com.facebook.orca","Unknown",5,"so good to use","No reply"
"Messenger","com.facebook.orca","Unknown",5,"Nice quality 👌","No reply"
"Messenger","com.facebook.orca","Unknown",4,"good","No reply"
"Messenger","com.facebook.orca","Unknown",5,"Mandi Tarav","No reply"
"Messenger","com.facebook.orca","Unknown",5,"good","No reply"
"Messenger","com.facebook.orca","Unknown",5,"good","No reply"
"Telegram","org.telegram.messenger","Unknown",5,"Op","No reply"
"Telegram","org.telegram.messenger","Unknown",1,"Cannot proceed even after telegram call to verify no.did not get sms even","We're sorry to hear that. Please verify that your mobile plan includes active SMS coverage. Confirm Google Play Services are enabled on your device and disable any active VPN. If issues persist, contact sms@telegram.org with your phone number in international format as the email subject."
"Telegram","org.telegram.messenger","Unknown",5,"என்ன காரணம் ஏன் ஓபன் பண்ண முடியவில்லை","No reply"
"Telegram","org.telegram.messenger","Unknown",2,"আমারটা লিখে নাম চালু হচ্ছে না","No reply"
"Telegram","org.telegram.messenger","Unknown",5,"Does This code","No reply"
"Telegram","org.telegram.messenger","Unknown",5,"Excellent","Thank you for your review, we appreciate it!"
"Telegram","org.telegram.messenger","Unknown",3,"I gave this app 3 star rating because now a days the downloads are take long time to download, I can give this app 4to5 rating if downloads take less time before downloading was first but now it is slow","No reply"
"Telegram","org.telegram.messenger","Unknown",5,"Good App","We're glad that you're enjoying Telegram. Thank you for your review!"
"Telegram","org.telegram.messenger","Unknown",5,"So good","No reply"
"Telegram","org.telegram.messenger","Unknown",5,"Very good","Thank you for your review, we appreciate it!"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",5,"good","No reply"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",4,"EDITED PLEASE CHECK THE REVIEW AND THE EDIT!!! it super good and all of that but the problem is why the hell am i getting ads on discord when i updated it? i restarted my phone and deleted discord and re downloaded it and still i got ads. never in a long time have i gotten ADS from using discord. i use other apps and social media apps just fine and i get no ads. EDIT: I INSTALLED EMOJI MAKER PLUS WHICH HAS ILLEGAL MALEWARE ON IT AND WHEN ITS FULLY CLOSED IT POPS UP ADS EVERYWHERE REPORT TO FBI","No reply"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",2,"the amount of times you have to verify ur not a bot is crazzyyy","Try completing the verification through another client like browser or desktop. If that doesn't help, check the steps here: https://support.discord.com/hc/en-us/articles/6181726888215"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",1,"I checked my settings in and outside the app, uninstalled and reinstalled, updated, and turned on and off my phone but still notifications just will not work","Are you logged in on a desktop or browser at the same time? Try setting server notifications to @mentions and see if it works. If not, change your password and ensure notifications are set according to these steps: https://support.discord.com/hc/en-us/articles/218892547"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",5,"beutiful game for making friends I love it","No reply"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",4,"The new update is absolutely uncomfortable to use on mobile. It says the app was improved but it's really just harder to use, please fix this. It's awful. Or at least give the option to choose to keep the old UI or use the new.","No reply"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",1,"the mobile version is so annoying, it never updates chat so i have to reopen the app multiple times and suddenly causes audio to stop","Try restarting your device, reinstalling the app, and updating to the latest version. You can also check our troubleshooting steps here: https://dis.gd/mobile-voice-help for more assistance."
"Discord - Talk, Play, Hang Out","com.discord","Unknown",5,"I really like this","No reply"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",1,"Keeps scrolling to the bottom when I'm trying to look through messages","If you're having issues within the app, please submit a support ticket so we can assist you better: dis.gd/contact"
"Discord - Talk, Play, Hang Out","com.discord","Unknown",5,"Thi is best app ever","No reply"
